,plan_id,plan_name,plan_state,payer_type,plan_key,gold_run_id,gold_processed_timestamp
0,300,PLAN_C,OR,healthcare,983bd614bb5afece5ab3b6023f71147cd7b6bc2314f9d27af7422541c6558389,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
1,500,PLAN_E,AR,MEDICARE,0604cd3138feed202ef293e062da2f4720f77a05d25ee036a7a01c9cfcdd1f0a,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
2,200,PLAN_B,CO,Managed healthcare,27badc983df1780b60c2b3fa9d3a19a00e46aac798451f0febdca52920faaddf,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
3,1000,PLAN_J,NM,healthcare,40510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
4,1400,PLAN_N,IA,healthcare,55fdec963805de594b61b2c1692cadc2c1dfb844d6ac10c5bfed33c842087b2e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
5,1300,PLAN_M,OH,COMMERCIAL,a037a7dfaf26abe1265bd5d51447be3bb1fdaef7c4c7a14bcf0d819818fb80b0,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
6,1200,PLAN_L,AL,MEDICARE,15197cf7214b58e67cae565e573ffd9aa44bcb81f8ee5d7185dfe8da0a16ef43,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
7,700,PLAN_G,CO,MEDICARE SUPPLEMENT,99ee50221221864d50c60baea6f14d8ac2e235cc6e78be6088cd40cc97fca394,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
8,400,PLAN_D,NC,healthcare,26d228663f13a88592a12d16cf9587caab0388b262d6d9f126ed62f9333aca94,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
9,800,PLAN_H,ID,COMMERCIAL,1a1cf797fabe7f95836fabeca626907c77b3e6c9aff7c2290b396a238c69362e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
10,600,PLAN_F,AL,UNSPECIFIED,284b7e6d788f363f910f7beb1910473e23ce9d6c871f1ce0f31f22a982d48ad4,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
11,100,PLAN_A,NY,Managed healthcare,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
12,900,PLAN_I,IL,healthcare,bdc5d8a48c23897906b09a9a3680bd2e9c8b3121edbda36f949800f0959c8d55,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
13,1100,PLAN_K,PA,MEDICARE,ab9828ca390581b72629069049793ba3c99bb8e5e9e7b97a55c71957e04df9a3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:21.546071
