,provider_id,npi,provider_specialty,provider_state,provider_key,gold_run_id,gold_processed_timestamp
0,PROVIDER_1711,1711,208500000X,AZ,e24adbd586530a7e23aa4fa5e383c02b9db4a444b54a30907601e54b1e661a7a,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
1,PROVIDER_1956,1956,207Q00000X,ME,72f0bbbbe3db17c49f95677b5058cec31153e462385d9075fe01d708a3a7cf1a,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
2,PROVIDER_1088,1088,207RC0000X,FL,3bc4048aa48b03bb5a8d535326374a05e4b10f3375c63a2f41a9e5458f97355e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
3,PROVIDER_1915,1915,208800000X,AK,0f3c239072bb258a8e1ad76e09f8508b50546f6ed3799ef3ad0027724f620025,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
4,PROVIDER_1981,1981,208500000X,SC,7afe1c26bb752d112b7158d97fefe981fa0d118b5930992b33a2f44ad93ed3a7,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
5,PROVIDER_1232,1232,208400000X,KY,c6238590074ee7e757fc255904c7a533088ed10d4446c746e4e426c4a4413b5c,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
6,PROVIDER_1561,1561,207R00000X,MD,85f31508c3a972b67e2fafd1fd498c0928392f76cd75111be4f8f9d6f746955d,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
7,PROVIDER_1043,1043,207RC0000X,FL,62562db2da1b862f02ba28c33b632286658c30564e2201196f11090142b33236,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
8,PROVIDER_1492,1492,208400000X,HI,edab3f034256cf24737368e537032b30a817a93c5334af3a1b2ac2cc29e6d496,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
9,PROVIDER_1846,1846,208000000X,WY,81a3e1dbcd1e75f1d7ab5d194100f5793b13fc2a826d7bd0c857294d8f6afa1b,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
10,PROVIDER_1324,1324,208500000X,MD,ff0381bdf24ba3d2ae81285afb95d231f6640788f776ee23053f35b265069f97,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
11,PROVIDER_1853,1853,208800000X,DC,1472749bf7f658c18e8080dffe026bef414e2e5c1bd092a6e23432d74a244518,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
12,PROVIDER_1130,1130,208700000X,OH,723786283e5e0d7cdf354728f59133bc3ec5be2b65f2d961aa1e79b19e815f92,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
13,PROVIDER_1851,1851,207RX0202X,LA,708cd6c7560ccbdebfdb6cbe328faa65f4f7199b0779cbd3c845727e8667e6c3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
14,PROVIDER_1811,1811,208600000X,VA,846636811a945e0b7e1507e631ed06571f3aef4c4e479b7ddbda4785b49d1dae,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
15,PROVIDER_1310,1310,208200000X,MS,772f699ab04decd3302788327294e44b9bbe1faf15b5dc2a5531637f416524ac,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
16,PROVIDER_1210,1210,208400000X,AL,fbb8386271213d44016936fb100bfb7961b7ca4acd729be178afc2d996c6412a,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
17,PROVIDER_1623,1623,208200000X,NH,6728bfcef2e1dfa1e11ba2676e8c62b975f53307c5d9cbb065ab714666893545,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
18,PROVIDER_1346,1346,208600000X,OK,e6ed87b306b91ee85fe0f48ab3978899c2a557d3707ba96b9262898951ac95c6,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
19,PROVIDER_1947,1947,207R00000X,NE,b119f489698348589ef7a791164874a897c2e83d080788b2c15173b38958f1bf,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
20,PROVIDER_1759,1759,207RX0202X,NM,1b61ddaa71a17c72870c5654836e95235bbda14b19a282c2cabbc03d6890d6cb,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
21,PROVIDER_1108,1108,207R00000X,MA,de9689c5f0163a0e48fcfc5178b49e03cb5b3f082f85607befdd7ea5924c7555,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
22,PROVIDER_1468,1468,207Q00000X,SC,7b11e0d2c6e8a0639bae8c03958cf2727ad89cef5c617b42bb7b4a3d15292ca2,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
23,PROVIDER_1589,1589,207RX0202X,CT,cb8337ca9669484df979235a3c93bb983fb07efce14ea6d079207eea4776bb18,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
24,PROVIDER_1799,1799,207RC0000X,KS,dbfbf0cc8bf51b05677c1623388fccea8128a180483f04ae4cf923ebd33e7dc4,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
25,PROVIDER_1723,1723,208100000X,MT,921743ef990f207266454a14b5d00587d07f2d157b2ec55409956769adc367a3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
26,PROVIDER_1831,1831,208000000X,KS,ea8c42fbd03fb1765f694bace0e6a65212f747a28e33571bd5400e67f508b11a,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
27,PROVIDER_1418,1418,208400000X,ME,fe7d35b7cc4b0a409d40482182a1466a5b8647d0df6e3f0056d550015bafaf3e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
28,PROVIDER_1018,1018,207X00000X,FL,c9434f2cdb4bf7d02824bf5d8a140b00743eb3749212d83881f67e2307c2ea56,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
29,PROVIDER_1620,1620,208100000X,IN,7a050b54a29f8d165e2dad03e695a83b863150da38ca3ea6534883890e1d45d2,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
30,PROVIDER_1870,1870,207R00000X,AZ,37c74a5c6766ce917f37ceb9751a9726273e29d3f815bed21f7095fad0ea1bfb,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
31,PROVIDER_1269,1269,208600000X,OK,c1340b879b46f2747406d6849104faae86dbda67c78a9c8cc717763111522a64,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
32,PROVIDER_1002,1002,207R00000X,MA,005941cfe07feb5c6a07833705042b6a2e1c446f294676b7356b320d7f418ee6,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
33,PROVIDER_1176,1176,207X00000X,TX,d2815d7de07c1795957ae9c6f2c88cb9a559323f3c048028b4042282341da10e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
34,PROVIDER_1028,1028,208200000X,ME,d373eb5590cec2ef5add592ebe7073df87e0e93988b6b110f5449f325507b915,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
35,PROVIDER_1157,1157,208500000X,CA,6bc51283aee7a7e316c9833b09018a193d1878248fdc0a1a1e2db43546a382a5,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:06:47.376235
